Cmd: java -Dpellet.configuration=file:profiler/pellet.properties -Xmx1536m -cp dist/lib/pellet.jar profiler.ProfileKB -r 1 -m verbose -t Realize profiler/etc/dataset.txt 
Src: r1116
Profiler: r806 

                | Parse             | Load              | Consistency       | Classify          | Realize           |
                | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     |
portal          |    1.03 |    0.02 |    0.20 |    0.57 |    0.02 |    0.58 |    0.23 |    0.90 |    0.01 |    0.91 |
CongoService    |    0.17 |    0.02 |    0.01 |    0.05 |    0.00 |    0.05 |    0.00 |    0.06 |    0.00 |    0.07 |
pizza           |    2.76 |    0.02 |    0.15 |    0.18 |    0.00 |    0.19 |    2.19 |    0.51 |    0.00 |    0.51 |
earthrealm      |    1.07 |    0.02 |    0.03 |    0.21 |    0.00 |    0.21 |    0.15 |    0.68 |    0.00 |    0.68 |
wine            |    2.86 |    0.02 |    0.14 |    0.42 |    1.09 |    1.05 |    8.87 |    1.90 |    4.90 |    2.29 |
galen           |   10.23 |    0.02 |    0.84 |    3.04 |    0.00 |    3.04 |   11.58 |   16.72 |    0.00 |   16.72 |
semintec_0      |    3.37 |    0.02 |    2.77 |   24.68 |    0.55 |   33.26 |    0.02 |   33.40 |    1.36 |   33.95 |
vicodi_0        |    2.91 |    0.02 |    1.25 |   23.85 |    0.38 |   29.40 |    0.03 |   29.77 |    1.74 |   30.40 |
university[0]   |    6.12 |    0.02 |    3.48 |   29.94 |    0.71 |   38.80 |    0.01 |   38.89 |    1.70 |   39.95 |
university[0-2] |   19.67 |    0.02 |   11.89 |  100.69 |    2.58 |  130.47 |    0.01 |  130.56 |    5.93 |  133.96 |
