Cmd: java -Xmx2100m -cp dist/lib/pellet.jar profiler.ProfileKB -r 1 -m verbose -t Realize profiler/etc/dataset.txt 
Src: r420
Profiler: r556

                | Parse             | Load              | Consistency       | Classify          | Realize           |
                | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     |
portal          |    1.13 |    0.02 |    0.21 |    0.65 |    0.02 |    0.66 |    0.25 |    1.53 |    0.01 |    1.53 |
CongoService    |    0.16 |    0.02 |    0.01 |    0.05 |    0.00 |    0.05 |    0.00 |    0.07 |    0.00 |    0.07 |
SUMO            |    4.07 |    0.02 |    0.25 |    1.98 |    0.01 |    2.09 |    0.20 |    4.30 |    0.04 |    4.34 |
pizza           |    2.64 |    0.02 |    0.11 |    0.39 |    0.00 |    0.40 |    2.53 |    1.11 |    0.00 |    1.12 |
earthrealm      |    1.05 |    0.02 |    0.03 |    0.33 |    0.00 |    0.33 |    0.08 |    1.23 |    0.00 |    1.23 |
wine            |    0.72 |    0.02 |    0.04 |    0.48 |    1.33 |    1.33 |    7.74 |    4.64 |    7.69 |    5.00 |
galen           |   10.92 |    0.02 |    0.97 |    4.62 |    0.00 |    4.62 |   10.84 |   36.46 |    0.00 |   36.46 |
financial       |    3.50 |    0.02 |    2.66 |   25.43 |    0.69 |   33.97 |    0.01 |   34.19 |    0.92 |   34.75 |
biopax          |    3.81 |    0.02 |    7.50 |   36.13 |    0.63 |   41.58 |    0.00 |   41.68 |    0.57 |   42.07 |
university[0]   |    7.10 |    0.02 |    5.23 |   32.17 |    2.42 |   42.59 |    0.01 |   42.77 |    1.28 |   43.62 |
university[0-2] |   19.52 |    0.02 |   12.47 |  110.19 |   21.26 |  178.58 |    0.01 |  178.75 |    5.03 |  181.52 |
