Cmd: java -Dpellet.configuration=file:profiler/pellet.properties -Xmx1536m -cp dist/lib/pellet.jar profiler.ProfileKB -r 1 -m verbose -t Realize profiler/etc/dataset.txt 
Src: r562
Profiler: r563
  
                | Parse             | Load              | Consistency       | Classify          | Realize           |
                | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     |
portal          |    1.55 |    0.02 |    0.22 |    0.65 |    0.03 |    0.68 |    0.48 |    1.79 |    0.02 |    1.79 |
CongoService    |    1.45 |    0.02 |    0.20 |    0.90 |    0.04 |    1.06 |    0.26 |    4.19 |    0.11 |    4.20 |
SUMO            |    4.94 |    0.02 |    0.22 |    1.87 |    0.01 |    1.98 |    0.15 |    4.01 |    0.04 |    4.06 |
pizza           |    1.65 |    0.02 |    0.11 |    0.39 |    0.00 |    0.40 |    2.38 |    1.08 |    0.00 |    1.09 |
earthrealm      |    2.53 |    0.02 |    0.19 |    1.90 |    0.00 |    1.96 |    1.73 |    7.06 |    0.07 |    7.08 |
wine            |    1.03 |    0.02 |    0.08 |    0.64 |    1.50 |    1.61 |   15.24 |    6.58 |    9.52 |    6.53 |
galen           |    3.65 |    0.02 |    0.85 |    4.41 |    0.00 |    4.41 |   11.40 |   35.35 |    0.00 |   35.35 |
financial       |    3.48 |    0.02 |    2.81 |   25.13 |    0.54 |   33.67 |    0.01 |   33.87 |    1.00 |   34.42 |
biopax          |    3.80 |    0.02 |    8.12 |   34.54 |    0.62 |   39.98 |    0.00 |   40.08 |    0.56 |   40.47 |
university[0]   |    5.81 |    0.02 |    5.47 |   30.81 |    0.77 |   40.02 |    0.01 |   40.19 |    1.58 |   41.24 |
university[0-2] |   19.30 |    0.02 |   18.30 |  104.29 |    2.85 |  135.33 |    0.01 |  135.50 |    4.47 |  138.89 |
