Cmd: java -Xmx2100m -cp dist/lib/pellet.jar profiler.ProfileKB -r 1 -m verbose -t Realize profiler/etc/dataset.txt 
Src: r409
Profiler: r556

                | Parse             | Load              | Consistency       | Classify          | Realize           |
                | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     |
portal          |    1.34 |    0.53 |    0.22 |    1.37 |    0.02 |    1.43 |    0.26 |    2.32 |    0.01 |    2.32 |
CongoService    |    0.16 |    0.74 |    0.01 |    0.79 |    0.00 |    0.80 |    0.01 |    0.81 |    0.00 |    0.81 |
SUMO            |    3.83 |    0.75 |    0.33 |    3.68 |    0.01 |    4.15 |    0.20 |    6.40 |    0.04 |    6.45 |
pizza           |    2.55 |    1.74 |    0.12 |    2.36 |    0.00 |    2.37 |    2.56 |    3.14 |    0.00 |    3.14 |
earthrealm      |    1.03 |    2.02 |    0.04 |    2.48 |    0.00 |    2.48 |    0.09 |    3.39 |    0.00 |    3.39 |
wine            |    0.61 |    2.18 |    0.06 |    2.91 |    1.39 |    3.98 |    9.27 |    7.45 |    7.67 |    7.81 |
galen           |   11.56 |    2.49 |    0.71 |   10.11 |    0.00 |   10.11 |   13.17 |   46.52 |    0.00 |   46.52 |
financial       |    3.46 |    8.83 |    2.58 |   38.92 |    0.97 |   64.06 |    0.01 |   64.29 |    0.95 |   65.05 |
biopax          |    5.16 |   13.75 |    8.71 |   67.10 |    1.00 |   90.31 |    0.00 |   90.41 |    0.77 |   90.95 |
university[0]   |    5.57 |   32.80 |    6.05 |   74.73 |    2.92 |  105.70 |    0.01 |  105.87 |    1.39 |  106.73 |
university[0-2] |   18.35 |   43.03 |   14.21 |  176.46 |   25.50 |  309.71 |    0.12 |  309.89 |    5.02 |  312.66 |
