Cmd: java -Dpellet.configuration=file:profiler/pellet.properties -Xmx1536m -cp dist/lib/pellet.jar profiler.ProfileKB -r 1 -m verbose -t Realize profiler/etc/dataset.txt
Src: r556
Profiler: r563  

                | Parse             | Load              | Consistency       | Classify          | Realize           |
                | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     | Time    | Mem     |
portal          |    1.77 |    0.02 |    0.26 |    0.65 |    0.03 |    0.68 |    0.38 |    1.79 |    0.02 |    1.79 |
CongoService    |    1.25 |    0.02 |    0.21 |    0.89 |    0.04 |    1.06 |    0.26 |    4.19 |    0.11 |    4.20 |
SUMO            |    5.50 |    0.02 |    0.22 |    1.87 |    0.01 |    1.98 |    0.15 |    4.01 |    0.05 |    4.06 |
pizza           |    1.59 |    0.02 |    0.11 |    0.39 |    0.00 |    0.40 |    2.12 |    1.08 |    0.00 |    1.09 |
earthrealm      |    2.39 |    0.02 |    0.18 |    1.90 |    0.00 |    1.96 |    1.76 |    7.06 |    0.06 |    7.08 |
wine            |    1.70 |    0.02 |    0.08 |    0.64 |    1.58 |    1.61 |   16.71 |    6.59 |   11.31 |    6.53 |
galen           |    3.53 |    0.02 |    0.88 |    4.41 |    0.00 |    4.41 |   11.30 |   35.24 |    0.00 |   35.24 |
financial       |    3.58 |    0.02 |    2.91 |   25.13 |    0.66 |   33.67 |    0.01 |   33.88 |    1.10 |   34.43 |
biopax          |    4.01 |    0.02 |    8.62 |   34.53 |    0.65 |   39.98 |    0.17 |   40.08 |    0.58 |   40.47 |
university[0]   |    7.97 |    0.02 |    5.54 |   30.80 |    2.44 |   40.21 |    0.01 |   40.38 |    1.41 |   41.24 |
university[0-2] |   20.12 |    0.02 |   16.80 |  104.23 |   21.88 |  135.90 |    0.01 |  136.07 |    5.46 |  138.84 ||
